,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
189054,2223,T1,2022-09-17,Antalyaspor,Ad. Demirspor,0.0,3.0,A,0.0,1.0,A,9.0,13.0,4.0,7.0,9.0,11.0,6.0,2.0,1.0,3.0,2.0,1.0,2.21,3.56,3.39
189064,2223,T1,2022-09-17,Umraniyespor,Kasimpasa,1.0,2.0,A,0.0,1.0,A,20.0,13.0,7.0,5.0,14.0,16.0,11.0,5.0,4.0,4.0,0.0,0.0,2.47,3.58,2.91
189179,2223,T1,2022-09-18,Fenerbahce,Alanyaspor,5.0,0.0,H,3.0,0.0,H,17.0,7.0,11.0,2.0,14.0,18.0,12.0,3.0,0.0,2.0,0.0,0.0,1.51,4.92,5.97
189182,2223,T1,2022-09-18,Ankaragucu,Sivasspor,2.0,1.0,H,2.0,0.0,H,11.0,13.0,6.0,5.0,17.0,13.0,5.0,5.0,3.0,4.0,0.0,0.0,2.37,3.46,3.15
189183,2223,T1,2022-09-18,Trabzonspor,Gaziantep,3.0,2.0,H,2.0,2.0,D,21.0,10.0,8.0,3.0,9.0,9.0,9.0,2.0,2.0,3.0,0.0,0.0,1.64,4.22,5.4
189184,2223,T1,2022-09-18,Buyuksehyr,Karagumruk,0.0,0.0,D,0.0,0.0,D,8.0,7.0,1.0,3.0,8.0,19.0,6.0,3.0,0.0,3.0,1.0,1.0,1.54,4.4,6.38
189404,2223,T1,2022-10-01,Kasimpasa,Gaziantep,1.0,0.0,H,0.0,0.0,D,11.0,8.0,4.0,1.0,16.0,21.0,4.0,6.0,2.0,1.0,0.0,0.0,2.35,3.67,3.03
189405,2223,T1,2022-10-01,Ankaragucu,Buyuksehyr,1.0,2.0,A,0.0,1.0,A,10.0,8.0,4.0,3.0,16.0,13.0,8.0,6.0,1.0,2.0,0.0,0.0,4.14,3.6,1.96
189406,2223,T1,2022-10-01,Kayserispor,Trabzonspor,1.0,2.0,A,1.0,0.0,H,12.0,20.0,3.0,9.0,12.0,13.0,7.0,6.0,4.0,4.0,0.0,0.0,3.69,3.66,2.07
189407,2223,T1,2022-10-01,Ad. Demirspor,Galatasaray,0.0,0.0,D,0.0,0.0,D,8.0,23.0,2.0,4.0,12.0,15.0,4.0,7.0,2.0,5.0,1.0,0.0,2.72,3.52,2.66
189453,2223,T1,2022-10-02,Konyaspor,Umraniyespor,1.0,0.0,H,1.0,0.0,H,8.0,16.0,3.0,6.0,11.0,18.0,4.0,8.0,3.0,1.0,0.0,0.0,1.59,4.21,6.02
189455,2223,T1,2022-10-02,Besiktas,Fenerbahce,0.0,0.0,D,0.0,0.0,D,9.0,9.0,1.0,3.0,19.0,17.0,3.0,4.0,2.0,2.0,0.0,0.0,2.38,3.77,2.93
189456,2223,T1,2022-10-02,Alanyaspor,Giresunspor,1.0,1.0,D,0.0,0.0,D,12.0,8.0,5.0,6.0,21.0,7.0,11.0,3.0,4.0,2.0,0.0,1.0,1.91,3.79,4.06
189457,2223,T1,2022-10-02,Sivasspor,Hatayspor,1.0,2.0,A,1.0,2.0,A,29.0,4.0,8.0,2.0,8.0,11.0,12.0,4.0,1.0,5.0,0.0,1.0,2.07,3.54,3.81
189466,2223,T1,2022-10-03,Karagumruk,Istanbulspor,1.0,2.0,A,1.0,0.0,H,7.0,15.0,2.0,4.0,13.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,1.69,4.16,4.85
189518,2223,T1,2022-10-07,Gaziantep,Ad. Demirspor,1.0,1.0,D,0.0,0.0,D,8.0,22.0,4.0,7.0,15.0,14.0,2.0,5.0,2.0,1.0,1.0,0.0,3.08,3.71,2.31
189543,2223,T1,2022-10-08,Giresunspor,Besiktas,0.0,1.0,A,0.0,1.0,A,8.0,14.0,1.0,5.0,20.0,13.0,5.0,8.0,4.0,3.0,0.0,0.0,4.38,3.71,1.88
189557,2223,T1,2022-10-08,Antalyaspor,Konyaspor,1.0,1.0,D,0.0,0.0,D,12.0,11.0,3.0,5.0,15.0,12.0,2.0,3.0,4.0,4.0,0.0,0.0,2.54,3.37,2.96
189558,2223,T1,2022-10-08,Istanbulspor,Ankaragucu,1.0,2.0,A,0.0,1.0,A,10.0,14.0,2.0,7.0,13.0,14.0,5.0,2.0,2.0,2.0,0.0,0.0,2.61,3.48,2.79
189659,2223,T1,2022-10-09,Umraniyespor,Kayserispor,2.0,2.0,D,0.0,1.0,A,10.0,12.0,5.0,3.0,11.0,16.0,3.0,4.0,3.0,0.0,1.0,0.0,2.62,3.62,2.71
189665,2223,T1,2022-10-09,Hatayspor,Alanyaspor,1.0,0.0,H,0.0,0.0,D,11.0,10.0,4.0,5.0,9.0,11.0,5.0,5.0,2.0,2.0,0.0,0.0,2.56,3.68,2.74
189668,2223,T1,2022-10-09,Fenerbahce,Karagumruk,5.0,4.0,H,2.0,2.0,D,16.0,6.0,9.0,4.0,17.0,16.0,3.0,0.0,1.0,4.0,0.0,0.0,1.39,5.26,8.11
189703,2223,T1,2022-10-10,Buyuksehyr,Sivasspor,0.0,2.0,A,0.0,1.0,A,21.0,7.0,6.0,5.0,10.0,9.0,9.0,3.0,2.0,0.0,0.0,0.0,1.56,4.2,6.38
189704,2223,T1,2022-10-10,Trabzonspor,Kasimpasa,0.0,0.0,D,0.0,0.0,D,20.0,7.0,3.0,1.0,10.0,18.0,10.0,3.0,1.0,3.0,0.0,0.0,1.44,4.85,7.15
189736,2223,T1,2022-10-14,Alanyaspor,Antalyaspor,3.0,2.0,H,1.0,0.0,H,9.0,13.0,5.0,7.0,6.0,9.0,7.0,2.0,2.0,2.0,0.0,0.0,2.29,3.5,3.26
189812,2223,T1,2022-10-15,Kayserispor,Galatasaray,2.0,1.0,H,2.0,0.0,H,18.0,12.0,5.0,3.0,11.0,10.0,6.0,15.0,2.0,1.0,0.0,0.0,4.26,3.85,1.87
189818,2223,T1,2022-10-15,Konyaspor,Gaziantep,0.0,1.0,A,0.0,0.0,D,19.0,6.0,5.0,2.0,15.0,17.0,8.0,5.0,2.0,5.0,0.0,0.0,1.83,3.93,4.35
189820,2223,T1,2022-10-15,Kasimpasa,Ad. Demirspor,1.0,4.0,A,0.0,2.0,A,23.0,14.0,8.0,5.0,15.0,15.0,9.0,4.0,1.0,3.0,0.0,0.0,3.18,3.69,2.26
189832,2223,T1,2022-10-15,Karagumruk,Hatayspor,3.0,0.0,H,2.0,0.0,H,14.0,13.0,5.0,0.0,6.0,18.0,5.0,6.0,3.0,2.0,0.0,0.0,1.97,3.84,3.82
189860,2223,T1,2022-10-16,Besiktas,Trabzonspor,2.0,2.0,D,1.0,2.0,A,17.0,10.0,7.0,4.0,11.0,12.0,4.0,3.0,2.0,3.0,0.0,1.0,2.08,3.69,3.61
189861,2223,T1,2022-10-16,Buyuksehyr,Istanbulspor,2.0,0.0,H,1.0,0.0,H,11.0,10.0,5.0,1.0,10.0,14.0,5.0,2.0,4.0,1.0,0.0,0.0,1.43,4.78,8.11
